No.,Description,Product Group Code,Inventory Posting Group,Sales (Qty.),Sales (Qty.) - Year,Quantity on Hand,Unit Price
K3-60SBS,3 inch stainless curved-top stack 60 inch long,PROPRIETAR,PIPE,126,51,229,219.52
K3-60EXC,3 inch chrome curved-top stack 60 inch long,CLAMP,PIPE,394,43,324,75.25
K3-60EXA,3 inch aluminized curved-top stack 60 inch long,HARDWARE,PIPE,497,67,354,443.15
K3-60EXS3,3 inch 304 stainless curved-top stack 60 inch long,CHROME,PIPE,201,95,106,142.42
K3-60EXS,3 inch stainless curved-top stack 60 inch long,MUFFLER,PIPE,46,73,134,70.29
K3-60XBC,3 inch chrome curved-top stack 60 inch long,MUFFLER,PIPE,414,37,101,225.96
K3-60XBA,3 inch aluminized curved-top stack 60 inch long,HARDWARE,PIPE,518,98,231,454.19
K3-60XBS3,3 inch 304 stainless curved-top stack 60 inch long,MUFFLER,PIPE,67,4,338,458.85
K3-60XBS,3 inch stainless curved-top stack 60 inch long,CLAMP,PIPE,0,107,70,168.68
K3-72SBC,3 inch chrome curved-top stack 72 inch long,CHROME,PIPE,39,46,396,0.0
K3-72SBA,3 inch aluminized curved-top stack 72 inch long,PIPE,PIPE,377,12,392,34.27
K3-72SBS3,3 inch 304 stainless curved-top stack 72 inch long,CHROME,PIPE,0,66,376,48.15
K3-72SBS,3 inch stainless curved-top stack 72 inch long,CHROME,OBSOLETE,33,92,292,62.32
K3-72EXC,3 inch chrome curved-top stack 72 inch long,MUFFLER,PIPE,420,37,269,290.03
K3-72EXA,3 inch aluminized curved-top stack 72 inch long,MUFFLER,PIPE,210,44,222,415.31
K3-72EXS3,3 inch 304 stainless curved-top stack 72 inch long,CHROME,PIPE,422,59,388,194.79
K3-72EXS,3 inch stainless curved-top stack 72 inch long,PROPRIETAR,OBSOLETE,97,10,71,248.48
K3-72XBC,3 inch chrome curved-top stack 72 inch long,MUFFLER,PIPE,276,34,90,239.28
K3-72XBA,3 inch aluminized curved-top stack 72 inch long,HARDWARE,PIPE,81,82,279,47.61
K3-72XBS3,3 inch 304 stainless curved-top stack 72 inch long,HARDWARE,PIPE,490,68,28,367.49
K3-72XBS,3 inch stainless curved-top stack 72 inch long,PIPE,PIPE,471,30,26,331.6
K3-84SBC,3 inch chrome curved-top stack 84 inch long,MUFFLER,PIPE,0,93,63,283.25
K3-84SBA,3 inch aluminized curved-top stack 84 inch long,PROPRIETAR,PIPE,326,96,186,198.53
K3-84SBS3,3 inch 304 stainless curved-top stack 84 inch long,ELBOW,PIPE,11,92,49,259.36
K3-84SBS,3 inch stainless curved-top stack 84 inch long,PIPE,PIPE,292,53,229,202.58
K3-84EXC,3 inch chrome curved-top stack 84 inch long,CHROME,PIPE,0,114,224,284.47
K3-84EXA,3 inch aluminized curved-top stack 84 inch long,CHROME,PIPE,83,1,109,425.11
K3-84EXS3,3 inch 304 stainless curved-top stack 84 inch long,ELBOW,PIPE,0,56,244,254.18
K3-84EXS,3 inch stainless curved-top stack 84 inch long,CLAMP,PIPE,318,64,59,448.49
K3-84XBC,3 inch chrome curved-top stack 84 inch long,HARDWARE,PIPE,0,70,51,476.36
K3-84XBA,3 inch aluminized curved-top stack 84 inch long,ELBOW,PIPE,241,44,388,18.12
K3-84XBS3,3 inch 304 stainless curved-top stack 84 inch long,HARDWARE,PIPE,556,40,93,299.33
K3-84XBS,3 inch stainless curved-top stack 84 inch long,ELBOW,PIPE,424,32,186,459.61
K3-96SBC,3 inch chrome curved-top stack 96 inch long,ELBOW,PIPE,574,79,240,358.02
K3-96SBA,3 inch aluminized curved-top stack 96 inch long,PIPE,PIPE,53,118,265,255.37
K3-96SBS3,3 inch 304 stainless curved-top stack 96 inch long,ELBOW,PIPE,0,44,278,26.3
K3-96SBS,3 inch stainless curved-top stack 96 inch long,CLAMP,PIPE,423,115,190,12.68
K3-96EXC,3 inch chrome curved-top stack 96 inch long,HARDWARE,PIPE,125,72,313,266.64
K3-96EXA,3 inch aluminized curved-top stack 96 inch long,ELBOW,PIPE,457,39,25,59.4
K3-96EXS3,3 inch 304 stainless curved-top stack 96 inch long,CLAMP,PIPE,294,31,198,265.2
K3-96EXS,3 inch stainless curved-top stack 96 inch long,HARDWARE,PIPE,141,64,275,50.74
K3-96XBC,3 inch chrome curved-top stack 96 inch long,CHROME,PIPE,141,96,235,182.58
K3-96XBA,3 inch aluminized curved-top stack 96 inch long,PIPE,PIPE,286,71,130,37.67
K3-96XBS3,3 inch 304 stainless curved-top stack 96 inch long,MUFFLER,PIPE,70,53,126,260.03
K3-96XBS,3 inch stainless curved-top stack 96 inch long,MUFFLER,PIPE,0,100,168,305.98
K3.5-12SBC,3.5 inch chrome curved-top stack 12 inch long,HARDWARE,PIPE,25,100,114,18.17
K3.5-12SBA,3.5 inch aluminized curved-top stack 12 inch long,CHROME,PIPE,0,43,332,63.74
K3.5-12SBS3,3.5 inch 304 stainless curved-top stack 12 inch long,HARDWARE,PIPE,18,64,185,113.31
K3.5-12SBS,3.5 inch stainless curved-top stack 12 inch long,MUFFLER,PIPE,558,33,185,306.76
K3.5-12EXC,3.5 inch chrome curved-top stack 12 inch long,ELBOW,PIPE,467,6,216,264.75
K3.5-12EXA,3.5 inch aluminized curved-top stack 12 inch long,CHROME,PIPE,574,97,127,251.79
K3.5-12EXS3,3.5 inch 304 stainless curved-top stack 12 inch long,MUFFLER,PIPE,113,3,40,66.76
K3.5-12EXS,3.5 inch stainless curved-top stack 12 inch long,ELBOW,PIPE,181,107,223,373.23
K3.5-12XBC,3.5 inch chrome curved-top stack 12 inch long,HARDWARE,PIPE,397,104,161,225.09
K3.5-12XBA,3.5 inch aluminized curved-top stack 12 inch long,MUFFLER,PIPE,0,109,247,75.86
K3.5-12XBS3,3.5 inch 304 stainless curved-top stack 12 inch long,CHROME,PIPE,150,104,81,85.69
K3.5-12XBS,3.5 inch stainless curved-top stack 12 inch long,CHROME,PIPE,138,53,185,383.75
K3.5-18SBC,3.5 inch chrome curved-top stack 18 inch long,MUFFLER,PIPE,257,98,166,189.33
K3.5-18SBA,3.5 inch aluminized curved-top stack 18 inch long,BATTERY,BATTERY,331,54,65,94.1
K3.5-18SBS3,3.5 inch 304 stainless curved-top stack 18 inch long,MUFFLER,PIPE,543,5,10,377.98
K3.5-18SBS,3.5 inch stainless curved-top stack 18 inch long,MUFFLER,PIPE,122,30,265,361.58
K3.5-18EXC,3.5 inch chrome curved-top stack 18 inch long,BATTERY,BATTERY,471,7,246,155.72
K3.5-18EXA,3.5 inch aluminized curved-top stack 18 inch long,PIPE,PIPE,44,110,178,468.22
K3.5-18EXS3,3.5 inch 304 stainless curved-top stack 18 inch long,ELBOW,PIPE,541,4,339,353.54
K3.5-18EXS,3.5 inch stainless curved-top stack 18 inch long,CHROME,PIPE,373,12,108,45.92
K3.5-18XBC,3.5 inch chrome curved-top stack 18 inch long,CHROME,PIPE,424,52,311,0.0
K3.5-18XBA,3.5 inch aluminized curved-top stack 18 inch long,BATTERY,BATTERY,568,76,300,0.0
K3.5-18XBS3,3.5 inch 304 stainless curved-top stack 18 inch long,CHROME,PIPE,83,38,19,201.63
K3.5-18XBS,3.5 inch stainless curved-top stack 18 inch long,PROPRIETAR,PIPE,0,7,240,55.97
K3.5-24SBC,3.5 inch chrome curved-top stack 24 inch long,CLAMP,PIPE,88,117,174,238.3
K3.5-24SBA,3.5 inch aluminized curved-top stack 24 inch long,HARDWARE,PIPE,288,70,147,107.18
K3.5-24SBS3,3.5 inch 304 stainless curved-top stack 24 inch long,ELBOW,PIPE,385,117,208,178.81
K3.5-24SBS,3.5 inch stainless curved-top stack 24 inch long,HARDWARE,PIPE,518,31,353,59.14
K3.5-24EXC,3.5 inch chrome curved-top stack 24 inch long,PIPE,PIPE,360,59,308,446.1
K3.5-24EXA,3.5 inch aluminized curved-top stack 24 inch long,MUFFLER,PIPE,459,31,231,198.81
K3.5-24EXS3,3.5 inch 304 stainless curved-top stack 24 inch long,PROPRIETAR,PIPE,375,41,278,69.38
K3.5-24EXS,3.5 inch stainless curved-top stack 24 inch long,CLAMP,PIPE,513,26,309,464.1
K3.5-24XBC,3.5 inch chrome curved-top stack 24 inch long,BATTERY,BATTERY,401,49,374,255.2
K3.5-24XBA,3.5 inch aluminized curved-top stack 24 inch long,HARDWARE,PIPE,4,53,144,419.51
K3.5-24XBS3,3.5 inch 304 stainless curved-top stack 24 inch long,CLAMP,PIPE,0,63,312,272.25
K3.5-24XBS,3.5 inch stainless curved-top stack 24 inch long,CHROME,PIPE,127,4,98,292.09
K3.5-30SBC,3.5 inch chrome curved-top stack 30 inch long,PIPE,PIPE,238,9,158,124.34
K3.5-30SBA,3.5 inch aluminized curved-top stack 30 inch long,ELBOW,PIPE,167,52,354,342.31
K3.5-30SBS3,3.5 inch 304 stainless curved-top stack 30 inch long,HARDWARE,PIPE,276,7,356,70.18
K3.5-30SBS,3.5 inch stainless curved-top stack 30 inch long,HARDWARE,PIPE,0,72,33,183.03
K3.5-30EXC,3.5 inch chrome curved-top stack 30 inch long,CHROME,PIPE,591,29,255,0.0
K3.5-30EXA,3.5 inch aluminized curved-top stack 30 inch long,PROPRIETAR,PIPE,162,7,388,187.93
K3.5-30EXS3,3.5 inch 304 stainless curved-top stack 30 inch long,ELBOW,PIPE,451,30,65,202.62
K3.5-30EXS,3.5 inch stainless curved-top stack 30 inch long,PIPE,PIPE,132,2,328,347.9
K3.5-30XBC,3.5 inch chrome curved-top stack 30 inch long,CLAMP,PIPE,471,41,54,353.64
K3.5-30XBA,3.5 inch aluminized curved-top stack 30 inch long,MUFFLER,PIPE,0,27,258,252.88
K3.5-30XBS3,3.5 inch 304 stainless curved-top stack 30 inch long,HARDWARE,PIPE,229,108,25,0.0
K3.5-30XBS,3.5 inch stainless curved-top stack 30 inch long,PROPRIETAR,OBSOLETE,0,56,10,163.45
K3.5-36SBC,3.5 inch chrome curved-top stack 36 inch long,PIPE,PIPE,518,5,7,362.88
K3.5-36SBA,3.5 inch aluminized curved-top stack 36 inch long,CHROME,PIPE,274,61,398,68.19
K3.5-36SBS3,3.5 inch 304 stainless curved-top stack 36 inch long,CHROME,PIPE,135,21,101,0.0
K3.5-36SBS,3.5 inch stainless curved-top stack 36 inch long,PIPE,PIPE,412,65,191,110.59
K3.5-36EXC,3.5 inch chrome curved-top stack 36 inch long,CLAMP,PIPE,152,91,278,474.05
K3.5-36EXA,3.5 inch aluminized curved-top stack 36 inch long,PIPE,PIPE,281,114,39,0.0
K3.5-36EXS3,3.5 inch 304 stainless curved-top stack 36 inch long,ELBOW,PIPE,296,108,333,22.01
K3.5-36EXS,3.5 inch stainless curved-top stack 36 inch long,CHROME,PIPE,69,57,329,274.26
K3.5-36XBC,3.5 inch chrome curved-top stack 36 inch long,CLAMP,PIPE,425,33,156,145.32
K3.5-36XBA,3.5 inch aluminized curved-top stack 36 inch long,CHROME,PIPE,483,2,134,27.2
K3.5-36XBS3,3.5 inch 304 stainless curved-top stack 36 inch long,HARDWARE,PIPE,159,49,135,174.58
K3.5-36XBS,3.5 inch stainless curved-top stack 36 inch long,ELBOW,PIPE,173,61,71,66.04
K3.5-42SBC,3.5 inch chrome curved-top stack 42 inch long,ELBOW,PIPE,359,34,224,35.37
K3.5-42SBA,3.5 inch aluminized curved-top stack 42 inch long,HARDWARE,PIPE,520,71,339,306.54
K3.5-42SBS3,3.5 inch 304 stainless curved-top stack 42 inch long,CHROME,PIPE,0,114,230,106.26
K3.5-42SBS,3.5 inch stainless curved-top stack 42 inch long,CHROME,PIPE,34,44,365,127.09
K3.5-42EXC,3.5 inch chrome curved-top stack 42 inch long,CHROME,PIPE,570,33,305,180.23
K3.5-42EXA,3.5 inch aluminized curved-top stack 42 inch long,CHROME,PIPE,180,57,186,247.65
K3.5-42EXS3,3.5 inch 304 stainless curved-top stack 42 inch long,CHROME,PIPE,74,12,10,0.0
K3.5-42EXS,3.5 inch stainless curved-top stack 42 inch long,MUFFLER,PIPE,197,118,51,191.91
K3.5-42XBC,3.5 inch chrome curved-top stack 42 inch long,CLAMP,PIPE,159,55,13,250.07
K3.5-42XBA,3.5 inch aluminized curved-top stack 42 inch long,ELBOW,PIPE,0,82,97,421.73
K3.5-42XBS3,3.5 inch 304 stainless curved-top stack 42 inch long,PROPRIETAR,OBSOLETE,0,98,366,72.03
K3.5-42XBS,3.5 inch stainless curved-top stack 42 inch long,MUFFLER,PIPE,233,51,71,86.25
K3.5-48SBC,3.5 inch chrome curved-top stack 48 inch long,PIPE,PIPE,71,9,265,74.44
K3.5-48SBA,3.5 inch aluminized curved-top stack 48 inch long,CHROME,OBSOLETE,0,1,6,289.57
K3.5-48SBS3,3.5 inch 304 stainless curved-top stack 48 inch long,ELBOW,PIPE,94,48,141,399.74
K3.5-48SBS,3.5 inch stainless curved-top stack 48 inch long,ELBOW,PIPE,271,17,289,309.72
K3.5-48EXC,3.5 inch chrome curved-top stack 48 inch long,CLAMP,PIPE,417,85,155,338.12
K3.5-48EXA,3.5 inch aluminized curved-top stack 48 inch long,PIPE,PIPE,581,41,179,50.64
K3.5-48EXS3,3.5 inch 304 stainless curved-top stack 48 inch long,HARDWARE,PIPE,211,88,151,343.17
K3.5-48EXS,3.5 inch stainless curved-top stack 48 inch long,PIPE,PIPE,81,111,133,420.27
K3.5-48XBC,3.5 inch chrome curved-top stack 48 inch long,MUFFLER,PIPE,157,61,322,440.05
K3.5-48XBA,3.5 inch aluminized curved-top stack 48 inch long,HARDWARE,PIPE,15,92,314,132.88
K3.5-48XBS3,3.5 inch 304 stainless curved-top stack 48 inch long,ELBOW,PIPE,203,52,258,164.14
K3.5-48XBS,3.5 inch stainless curved-top stack 48 inch long,MUFFLER,PIPE,0,100,133,290.12
K3.5-54SBC,3.5 inch chrome curved-top stack 54 inch long,ELBOW,PIPE,56,115,326,174.6
K3.5-54SBA,3.5 inch aluminized curved-top stack 54 inch long,ELBOW,PIPE,139,100,144,53.74
K3.5-54SBS3,3.5 inch 304 stainless curved-top stack 54 inch long,CLAMP,PIPE,467,16,205,365.64
K3.5-54SBS,3.5 inch stainless curved-top stack 54 inch long,PIPE,PIPE,167,78,231,32.38
K3.5-54EXC,3.5 inch chrome curved-top stack 54 inch long,PROPRIETAR,OBSOLETE,149,53,346,51.25
K3.5-54EXA,3.5 inch aluminized curved-top stack 54 inch long,PROPRIETAR,PIPE,39,72,143,220.78
K3.5-54EXS3,3.5 inch 304 stainless curved-top stack 54 inch long,PIPE,PIPE,79,111,132,14.09
K3.5-54EXS,3.5 inch stainless curved-top stack 54 inch long,ELBOW,PIPE,66,83,90,125.33
K3.5-54XBC,3.5 inch chrome curved-top stack 54 inch long,MUFFLER,PIPE,425,50,392,306.92
K3.5-54XBA,3.5 inch aluminized curved-top stack 54 inch long,CLAMP,PIPE,71,105,9,247.31
K3.5-54XBS3,3.5 inch 304 stainless curved-top stack 54 inch long,ELBOW,PIPE,0,89,122,437.0
K3.5-54XBS,3.5 inch stainless curved-top stack 54 inch long,HARDWARE,PIPE,0,67,179,0.0
K3.5-60SBC,3.5 inch chrome curved-top stack 60 inch long,CHROME,PIPE,32,41,219,268.29
K3.5-60SBA,3.5 inch aluminized curved-top stack 60 inch long,HARDWARE,PIPE,253,115,168,401.17
K3.5-60SBS3,3.5 inch 304 stainless curved-top stack 60 inch long,ELBOW,PIPE,121,112,313,0.0
K3.5-60SBS,3.5 inch stainless curved-top stack 60 inch long,ELBOW,PIPE,0,116,161,280.9
K3.5-60EXC,3.5 inch chrome curved-top stack 60 inch long,CLAMP,PIPE,324,93,155,59.64
K3.5-60EXA,3.5 inch aluminized curved-top stack 60 inch long,CLAMP,PIPE,143,57,203,474.84
K3.5-60EXS3,3.5 inch 304 stainless curved-top stack 60 inch long,HARDWARE,PIPE,432,89,309,42.16
K3.5-60EXS,3.5 inch stainless curved-top stack 60 inch long,MUFFLER,PIPE,585,39,358,0.0
K3.5-60XBC,3.5 inch chrome curved-top stack 60 inch long,PIPE,PIPE,79,73,210,130.35
K3.5-60XBA,3.5 inch aluminized curved-top stack 60 inch long,MUFFLER,PIPE,558,79,350,299.28
K3.5-60XBS3,3.5 inch 304 stainless curved-top stack 60 inch long,CHROME,PIPE,522,120,285,424.11
K3.5-60XBS,3.5 inch stainless curved-top stack 60 inch long,PIPE,PIPE,524,38,321,435.45
K3.5-72SBC,3.5 inch chrome curved-top stack 72 inch long,MUFFLER,PIPE,0,36,127,79.49
K3.5-72SBA,3.5 inch aluminized curved-top stack 72 inch long,PIPE,PIPE,100,53,368,132.37
K3.5-72SBS3,3.5 inch 304 stainless curved-top stack 72 inch long,PIPE,PIPE,327,117,157,368.98
K3.5-72SBS,3.5 inch stainless curved-top stack 72 inch long,CHROME,PIPE,22,110,368,297.48
K3.5-72EXC,3.5 inch chrome curved-top stack 72 inch long,CHROME,PIPE,0,68,396,153.11
K3.5-72EXA,3.5 inch aluminized curved-top stack 72 inch long,MUFFLER,PIPE,219,22,315,386.11
K3.5-72EXS3,3.5 inch 304 stainless curved-top stack 72 inch long,CHROME,PIPE,558,4,80,26.18
K3.5-72EXS,3.5 inch stainless curved-top stack 72 inch long,MUFFLER,PIPE,339,52,81,242.95
K3.5-72XBC,3.5 inch chrome curved-top stack 72 inch long,MUFFLER,PIPE,252,94,192,186.19
K3.5-72XBA,3.5 inch aluminized curved-top stack 72 inch long,CLAMP,PIPE,417,48,336,267.36
K3.5-72XBS3,3.5 inch 304 stainless curved-top stack 72 inch long,HARDWARE,PIPE,500,119,222,235.92
K3.5-72XBS,3.5 inch stainless curved-top stack 72 inch long,ELBOW,PIPE,425,62,175,454.71
